background_id,scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions,source_scenario_id,source_scenario_ids,source_scenario_count,valid_h3_thresholds,h3_design_active,h3_design_inactive_reason,noshow_high_low_focal,noshow_high_high_focal
H3B0011,A011,anchor,,rho_capacity_grid_rho_3.1_capacity_32,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A011,A011,1,4;6;9;12,True,,0.0,0.7
H3B0012,A012,anchor,,rho_capacity_grid_rho_3.1_capacity_64,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A012,A012,1,4;6;9;12,True,,0.0,0.7
H3B0013,A013,anchor,,rho_capacity_grid_rho_4.0_capacity_16,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A013,A013,1,4;6;9;12,True,,0.0,0.7
H3B0014,A014,anchor,,rho_capacity_grid_rho_4.0_capacity_32,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A014,A014,1,4;6;9;12,True,,0.0,0.7
H3B0015,A015,anchor,,rho_capacity_grid_rho_4.0_capacity_64,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A015,A015,1,4;6;9;12,True,,0.0,0.7
H3B0016,A016,anchor,,short_horizon_zero_risk,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,,A016,A016,1,4,False,fewer_than_two_valid_thresholds,0.0,0.7
H3B0017,A017,anchor,,long_horizon_low_step,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,6,6,0.1,0.1,0.1,0.1,0,9,0.0,0.0,0.0,0.1,,A017,A017,1,4;6;9;12,True,,0.0,0.7
H3B0018,A018,anchor,,longest_horizon_mid_risk,2.0,0.7,16,32.0,22.4,9.6,28,28,0.5,0.5,12,12,0.3,0.3,0.3,0.3,0,12,0.3,0.3,0.3,0.3,,A018,A018,1,4;6;9;12,True,,0.3,0.7
H3B0019,A019,anchor,,high_balk_low_threshold,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,0,4,0.5,0.5,0.5,0.5,,A019,A019,1,4;6;9;12,True,,0.5,0.7
H3B0020,A020,anchor,,maximum_common_risk,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,6,6,0.7,0.7,0.7,0.7,0,6,0.7,0.7,0.7,0.7,,A020,A020,1,4;6;9;12,False,no_valid_post_threshold_increase,0.7,0.7
H3B0021,A021,anchor,,low_pressure_long_horizon,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,0,12,0.0,0.0,0.0,0.1,,A021,A021,1,4;6;9;12,True,,0.0,0.7
H3B0022,A022,anchor,,high_pressure_short_horizon,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.5,0.5,0.7,0.7,0,4,0.5,0.5,0.5,0.7,,A022,A022,1,4,False,fewer_than_two_valid_thresholds,0.5,0.7
H3B0023,A023,anchor,,class1_minority_high_risk,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,9,9,0.3,0.3,0.7,0.7,0,6,0.3,0.3,0.3,0.7,,A023,A023,1,4;6;9;12,True,,0.3,0.7
H3B0024,A024,anchor,,class1_majority_high_risk,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,9,9,0.3,0.3,0.7,0.7,0,6,0.3,0.3,0.3,0.7,,A024,A024,1,4;6;9;12,True,,0.3,0.7
H3B0025,A025,anchor,,high_post_threshold_exposure,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0,4,0.0,0.0,0.0,0.7,,A025,A025,1,4;6;9;12,True,,0.0,0.7
H3B0026,A026,anchor,,low_post_threshold_exposure,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,12,12,0.0,0.0,0.7,0.7,0,12,0.0,0.0,0.0,0.7,,A026,A026,1,4;6;9;12,True,,0.0,0.7
H3B0027,A027,anchor,,small_scale_balanced,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,0,9,0.0,0.0,0.0,0.3,,A027,A027,1,4;6;9;12,True,,0.0,0.7
H3B0028,A028,anchor,,large_scale_balanced,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,0,9,0.0,0.0,0.0,0.3,,A028,A028,1,4;6;9;12,True,,0.0,0.7
H3B0029,A029,anchor,,high_cancel_low_noshow,3.1,0.3,32,99.2,29.76,69.44,14,14,0.5,0.5,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.0,,A029,A029,1,4;6;9;12,True,,0.0,0.7
H3B0030,A030,anchor,,low_cancel_high_noshow,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,9,9,0.0,0.0,0.5,0.5,0,6,0.5,0.5,0.5,0.7,,A030,A030,1,4;6;9;12,True,,0.5,0.7
H3B0031,A031,anchor,,high_balk_low_noshow,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.3,0.3,0.7,0.7,0,9,0.0,0.0,0.0,0.1,,A031,A031,1,4;6;9;12,True,,0.0,0.7
H3B0032,A032,anchor,,low_balk_high_noshow,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.0,0.0,0.1,0.1,0,9,0.3,0.3,0.3,0.7,,A032,A032,1,4;6;9;12,True,,0.3,0.7
H3B0033,S001,sobol_symmetric,,scrambled_sobol,3.1,0.3,16,49.6,14.88,34.72,21,21,0.5,0.5,12,12,0.1,0.1,0.7,0.7,0,12,0.0,0.0,0.0,0.3,,S001,S001,1,4;6;9;12,True,,0.0,0.7
H3B0034,S002,sobol_symmetric,,scrambled_sobol,1.25,0.7,64,80.0,56.0,24.000000000000004,7,7,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0,4,0.3,0.3,0.3,0.7,,S002,S002,1,4,False,fewer_than_two_valid_thresholds,0.3,0.7
H3B0035,S003,sobol_symmetric,,scrambled_sobol,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,0,4,0.7,0.7,0.7,0.7,,S003,S003,1,4;6;9;12,False,no_valid_post_threshold_increase,0.7,0.7
H3B0036,S004,sobol_symmetric,,scrambled_sobol,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,0,9,0.3,0.3,0.3,0.3,,S004,S004,1,4;6;9;12,True,,0.3,0.7
H3B0037,S005,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,0,4,0.5,0.5,0.5,0.7,,S005,S005,1,4;6;9;12,True,,0.5,0.7
H3B0038,S006,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,0,9,0.0,0.0,0.0,0.5,,S006,S006,1,4;6;9;12,True,,0.0,0.7
H3B0039,S007,sobol_symmetric,,scrambled_sobol,0.8,0.5,32,25.6,12.8,12.8,7,7,0.1,0.1,4,4,0.3,0.3,0.5,0.5,0,4,0.0,0.0,0.0,0.0,,S007,S007,1,4,False,fewer_than_two_valid_thresholds,0.0,0.7
H3B0040,S008,sobol_symmetric,,scrambled_sobol,3.1,0.7,32,99.2,69.44,29.760000000000005,21,21,0.5,0.5,9,9,0.1,0.1,0.3,0.3,0,6,0.3,0.3,0.3,0.5,,S008,S008,1,4;6;9;12,True,,0.3,0.7
H3B0041,S009,sobol_symmetric,,scrambled_sobol,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.7,0.7,0.7,0.7,0,4,0.5,0.5,0.5,0.5,,S009,S009,1,4;6;9;12,True,,0.5,0.7
H3B0042,S010,sobol_symmetric,,scrambled_sobol,0.8,0.9,32,25.6,23.040000000000003,2.56,14,14,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0,9,0.0,0.0,0.0,0.7,,S010,S010,1,4;6;9;12,True,,0.0,0.7
H3B0043,S011,sobol_symmetric,,scrambled_sobol,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,4,4,0.3,0.3,0.7,0.7,0,12,0.0,0.0,0.0,0.0,,S011,S011,1,4;6;9;12,True,,0.0,0.7
H3B0044,S012,sobol_symmetric,,scrambled_sobol,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.0,0.0,4,4,0.1,0.1,0.5,0.5,0,4,0.3,0.3,0.3,0.5,,S012,S012,1,4,False,fewer_than_two_valid_thresholds,0.3,0.7
H3B0045,S013,sobol_symmetric,,scrambled_sobol,4.0,0.5,16,64.0,32.0,32.0,7,7,0.0,0.0,4,4,0.3,0.3,0.3,0.3,0,4,0.0,0.0,0.0,0.3,,S013,S013,1,4,False,fewer_than_two_valid_thresholds,0.0,0.7
H3B0046,S014,sobol_symmetric,,scrambled_sobol,2.0,0.5,64,128.0,64.0,64.0,21,21,0.3,0.3,6,6,0.1,0.1,0.1,0.1,0,6,0.3,0.3,0.3,0.7,,S014,S014,1,4;6;9;12,True,,0.3,0.7
H3B0047,S015,sobol_symmetric,,scrambled_sobol,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.5,0.5,4,4,0.5,0.5,0.5,0.5,0,4,0.7,0.7,0.7,0.7,,S015,S015,1,4;6;9;12,False,no_valid_post_threshold_increase,0.7,0.7
H3B0048,S016,sobol_symmetric,,scrambled_sobol,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,0,9,0.0,0.0,0.0,0.7,,S016,S016,1,4;6;9;12,True,,0.0,0.7
H3B0049,S017,sobol_symmetric,,scrambled_sobol,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.0,0.0,0.7,0.7,0,4,0.0,0.0,0.0,0.5,,S017,S017,1,4,False,fewer_than_two_valid_thresholds,0.0,0.7
H3B0050,S018,sobol_symmetric,,scrambled_sobol,0.8,0.9,32,25.6,23.040000000000003,2.56,21,21,0.0,0.0,9,9,0.1,0.1,0.5,0.5,0,9,0.5,0.5,0.5,0.5,,S018,S018,1,4;6;9;12,True,,0.5,0.7
H3B0051,S019,sobol_symmetric,,scrambled_sobol,2.0,0.5,16,32.0,16.0,16.0,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,0,12,0.3,0.3,0.3,0.5,,S019,S019,1,4;6;9;12,True,,0.3,0.7
H3B0052,S020,sobol_symmetric,,scrambled_sobol,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.3,0.3,0.7,0.7,0,6,0.0,0.0,0.0,0.0,,S020,S020,1,4;6;9;12,True,,0.0,0.7
H3B0053,S021,sobol_symmetric,,scrambled_sobol,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0,12,0.3,0.3,0.3,0.7,,S021,S021,1,4;6;9;12,True,,0.3,0.7
H3B0054,S022,sobol_symmetric,,scrambled_sobol,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.7,0.7,0.7,0.7,0,6,0.0,0.0,0.0,0.3,,S022,S022,1,4;6;9;12,True,,0.0,0.7
H3B0055,S023,sobol_symmetric,,scrambled_sobol,0.8,0.3,64,51.2,15.36,35.84,21,21,0.0,0.0,12,12,0.1,0.1,0.1,0.1,0,4,0.0,0.0,0.0,0.7,,S023,S023,1,4;6;9;12,True,,0.0,0.7
H3B0056,S024,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.6,7,7,0.3,0.3,4,4,0.3,0.3,0.3,0.3,0,4,0.7,0.7,0.7,0.7,,S024,S024,1,4,False,fewer_than_two_valid_thresholds;no_valid_post_threshold_increase,0.7,0.7
H3B0057,S025,sobol_symmetric,,scrambled_sobol,2.0,0.3,64,128.0,38.4,89.6,14,14,0.0,0.0,4,4,0.0,0.0,0.5,0.5,0,12,0.3,0.3,0.3,0.7,,S025,S025,1,4;6;9;12,True,,0.3,0.7
H3B0058,S026,sobol_symmetric,,scrambled_sobol,0.8,0.5,16,12.8,6.4,6.4,28,28,0.3,0.3,12,12,0.7,0.7,0.7,0.7,0,6,0.0,0.0,0.0,0.1,,S026,S026,1,4;6;9;12,True,,0.0,0.7
H3B0059,S027,sobol_symmetric,,scrambled_sobol,1.25,0.1,64,80.0,8.0,72.0,7,7,0.5,0.5,4,4,0.1,0.1,0.3,0.3,0,4,0.3,0.3,0.3,0.3,,S027,S027,1,4,False,fewer_than_two_valid_thresholds,0.3,0.7
H3B0060,S028,sobol_symmetric,,scrambled_sobol,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,0,9,0.5,0.5,0.5,0.7,,S028,S028,1,4;6;9;12,True,,0.5,0.7
H3B0061,S029,sobol_symmetric,,scrambled_sobol,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0,4,0.0,0.0,0.0,0.3,,S029,S029,1,4;6;9;12,True,,0.0,0.7
H3B0062,S030,sobol_symmetric,,scrambled_sobol,1.25,0.9,64,80.0,72.0,7.999999999999998,7,7,0.5,0.5,4,4,0.1,0.1,0.7,0.7,0,4,0.5,0.5,0.5,0.7,,S030,S030,1,4,False,fewer_than_two_valid_thresholds,0.5,0.7
H3B0063,S031,sobol_symmetric,,scrambled_sobol,1.25,0.3,32,40.0,12.0,28.0,28,28,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0,12,0.3,0.3,0.3,0.3,,S031,S031,1,4;6;9;12,True,,0.3,0.7
H3B0064,S032,sobol_symmetric,,scrambled_sobol,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,0,6,0.0,0.0,0.0,0.1,,S032,S032,1,4;6;9;12,True,,0.0,0.7
H3B0065,S033,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,0,4,0.5,0.5,0.5,0.5,,S033,S033,1,4,False,fewer_than_two_valid_thresholds,0.5,0.7
H3B0066,S034,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,2.0,21,21,0.1,0.1,9,9,0.5,0.5,0.5,0.5,0,12,0.0,0.0,0.0,0.5,,S034,S034,1,4;6;9;12,True,,0.0,0.7
H3B0067,S035,sobol_symmetric,,scrambled_sobol,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.0,0.0,0.5,0.5,0,9,0.0,0.0,0.0,0.0,,S035,S035,1,4;6;9;12,True,,0.0,0.7
H3B0068,S036,sobol_symmetric,,scrambled_sobol,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.1,0.1,0.5,0.5,0,4,0.3,0.3,0.3,0.5,,S036,S036,1,4;6;9;12,True,,0.3,0.7
H3B0069,S037,sobol_symmetric,,scrambled_sobol,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.1,0.1,0.1,0.1,0,9,0.0,0.0,0.0,0.3,,S037,S037,1,4;6;9;12,True,,0.0,0.7
H3B0070,S038,sobol_symmetric,,scrambled_sobol,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.3,0.3,0.3,0.3,0,4,0.3,0.3,0.3,0.7,,S038,S038,1,4;6;9;12,True,,0.3,0.7
H3B0071,S039,sobol_symmetric,,scrambled_sobol,0.8,0.1,16,12.8,1.2800000000000002,11.52,21,21,0.1,0.1,12,12,0.0,0.0,0.3,0.3,0,6,0.7,0.7,0.7,0.7,,S039,S039,1,4;6;9;12,False,no_valid_post_threshold_increase,0.7,0.7
H3B0072,S040,sobol_symmetric,,scrambled_sobol,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.5,0.5,0.7,0.7,0,4,0.0,0.0,0.0,0.7,,S040,S040,1,4,False,fewer_than_two_valid_thresholds,0.0,0.7
H3B0073,S041,sobol_symmetric,,scrambled_sobol,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,0,9,0.0,0.0,0.0,0.1,,S041,S041,1,4;6;9;12,True,,0.0,0.7
H3B0074,S042,sobol_symmetric,,scrambled_sobol,0.8,0.7,64,51.2,35.84,15.360000000000005,28,28,0.5,0.5,12,12,0.3,0.3,0.5,0.5,0,4,0.5,0.5,0.5,0.5,,S042,S042,1,4;6;9;12,True,,0.5,0.7
H3B0075,S043,sobol_symmetric,,scrambled_sobol,1.25,0.3,16,20.0,6.0,14.0,7,7,0.3,0.3,4,4,0.0,0.0,0.5,0.5,0,4,0.5,0.5,0.5,0.7,,S043,S043,1,4,False,fewer_than_two_valid_thresholds,0.5,0.7
H3B0076,S044,sobol_symmetric,,scrambled_sobol,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.0,0.0,6,6,0.7,0.7,0.7,0.7,0,12,0.3,0.3,0.3,0.3,,S044,S044,1,4;6;9;12,True,,0.3,0.7
H3B0077,S045,sobol_symmetric,,scrambled_sobol,4.0,0.1,32,128.0,12.8,115.2,21,21,0.0,0.0,4,4,0.0,0.0,0.1,0.1,0,6,0.5,0.5,0.5,0.7,,S045,S045,1,4;6;9;12,True,,0.5,0.7
H3B0078,S046,sobol_symmetric,,scrambled_sobol,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.3,0.3,4,4,0.5,0.5,0.5,0.5,0,4,0.0,0.0,0.0,0.5,,S046,S046,1,4,False,fewer_than_two_valid_thresholds,0.0,0.7
H3B0079,S047,sobol_symmetric,,scrambled_sobol,0.8,0.5,64,51.2,25.6,25.6,28,28,0.5,0.5,9,9,0.0,0.0,0.7,0.7,0,9,0.0,0.0,0.0,0.1,,S047,S047,1,4;6;9;12,True,,0.0,0.7
H3B0080,S048,sobol_symmetric,,scrambled_sobol,3.1,0.5,16,49.6,24.8,24.8,14,14,0.1,0.1,6,6,0.1,0.1,0.7,0.7,0,4,0.3,0.3,0.3,0.3,,S048,S048,1,4;6;9;12,True,,0.3,0.7
H3B0081,S049,sobol_symmetric,,scrambled_sobol,3.1,0.5,64,198.4,99.2,99.2,21,21,0.3,0.3,12,12,0.3,0.3,0.7,0.7,0,9,0.3,0.3,0.3,0.7,,S049,S049,1,4;6;9;12,True,,0.3,0.7
H3B0082,S050,sobol_symmetric,,scrambled_sobol,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.1,,S050,S050,1,4,False,fewer_than_two_valid_thresholds,0.0,0.7
H3B0083,S051,sobol_symmetric,,scrambled_sobol,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.1,0.1,0.7,0.7,0,6,0.0,0.0,0.0,0.7,,S051,S051,1,4;6;9;12,True,,0.0,0.7
H3B0084,S052,sobol_symmetric,,scrambled_sobol,4.0,0.9,16,64.0,57.6,6.399999999999999,14,14,0.5,0.5,9,9,0.0,0.0,0.7,0.7,0,12,0.7,0.7,0.7,0.7,,S052,S052,1,4;6;9;12,False,no_valid_post_threshold_increase,0.7,0.7
H3B0085,S053,sobol_symmetric,,scrambled_sobol,4.0,0.1,32,128.0,12.8,115.2,14,14,0.5,0.5,12,12,0.3,0.3,0.5,0.5,0,6,0.0,0.0,0.0,0.5,,S053,S053,1,4;6;9;12,True,,0.0,0.7
H3B0086,S054,sobol_symmetric,,scrambled_sobol,1.25,0.7,32,40.0,28.0,12.000000000000002,28,28,0.1,0.1,4,4,0.1,0.1,0.3,0.3,0,12,0.5,0.5,0.5,0.5,,S054,S054,1,4;6;9;12,True,,0.5,0.7
H3B0087,S055,sobol_symmetric,,scrambled_sobol,0.8,0.3,16,12.8,3.84,8.959999999999999,7,7,0.0,0.0,4,4,0.5,0.5,0.7,0.7,0,4,0.3,0.3,0.3,0.3,,S055,S055,1,4,False,fewer_than_two_valid_thresholds,0.3,0.7
H3B0088,S056,sobol_symmetric,,scrambled_sobol,2.0,0.7,64,128.0,89.6,38.400000000000006,21,21,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0,4,0.0,0.0,0.0,0.0,,S056,S056,1,4;6;9;12,True,,0.0,0.7
H3B0089,S057,sobol_symmetric,,scrambled_sobol,3.1,0.1,16,49.6,4.960000000000001,44.64,28,28,0.0,0.0,9,9,0.3,0.3,0.5,0.5,0,6,0.0,0.0,0.0,0.5,,S057,S057,1,4;6;9;12,True,,0.0,0.7
H3B0090,S058,sobol_symmetric,,scrambled_sobol,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,14,14,0.3,0.3,6,6,0.1,0.1,0.5,0.5,0,12,0.5,0.5,0.5,0.5,,S058,S058,1,4;6;9;12,True,,0.5,0.7
H3B0091,S059,sobol_symmetric,,scrambled_sobol,1.25,0.3,32,40.0,12.0,28.0,21,21,0.5,0.5,4,4,0.7,0.7,0.7,0.7,0,9,0.3,0.3,0.3,0.5,,S059,S059,1,4;6;9;12,True,,0.3,0.7
H3B0092,S060,sobol_symmetric,,scrambled_sobol,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,0,4,0.0,0.0,0.0,0.0,,S060,S060,1,4,False,fewer_than_two_valid_thresholds,0.0,0.7
H3B0093,S061,sobol_symmetric,,scrambled_sobol,4.0,0.3,64,256.0,76.8,179.2,7,7,0.1,0.1,4,4,0.5,0.5,0.5,0.5,0,4,0.3,0.3,0.3,0.5,,S061,S061,1,4,False,fewer_than_two_valid_thresholds,0.3,0.7
H3B0094,S062,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.6,21,21,0.5,0.5,6,6,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.3,,S062,S062,1,4;6;9;12,True,,0.0,0.7
H3B0095,S063,sobol_symmetric,,scrambled_sobol,1.25,0.1,32,40.0,4.0,36.0,14,14,0.3,0.3,4,4,0.3,0.3,0.3,0.3,0,6,0.0,0.0,0.0,0.7,,S063,S063,1,4;6;9;12,True,,0.0,0.7
H3B0096,S064,sobol_symmetric,,scrambled_sobol,3.1,0.9,16,49.6,44.64,4.959999999999999,28,28,0.0,0.0,12,12,0.1,0.1,0.1,0.1,0,12,0.7,0.7,0.7,0.7,,S064,S064,1,4;6;9;12,False,no_valid_post_threshold_increase,0.7,0.7
H3B0097,S065,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.1,0.1,9,9,0.1,0.1,0.1,0.1,0,12,0.3,0.3,0.3,0.5,,S065,S065,1,4;6;9;12,True,,0.3,0.7
H3B0098,S066,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,2.0,28,28,0.5,0.5,6,6,0.3,0.3,0.3,0.3,0,6,0.0,0.0,0.0,0.0,,S066,S066,1,4;6;9;12,True,,0.0,0.7
H3B0099,S067,sobol_symmetric,,scrambled_sobol,2.0,0.5,64,128.0,64.0,64.0,7,7,0.3,0.3,4,4,0.0,0.0,0.3,0.3,0,4,0.0,0.0,0.0,0.5,,S067,S067,1,4,False,fewer_than_two_valid_thresholds,0.0,0.7
