selection_objective,policy,noshow_level,balk_level,rho,n_backgrounds,mean_selected_horizon,median_selected_horizon,mean_selected_Q,reservation_use_share,mean_window_if_used
average_utilization,baseline,high,high,1.2,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,high,1.2,10,2.5,2.5,0.0,0.0,
average_utilization,reservation_only,high,high,1.2,10,100.0,100.0,22.1,0.6,6.333333333333333
average_utilization,both_flexible,high,high,1.2,10,3.3,3.5,27.8,1.0,3.1
priority_weighted_utilization,baseline,high,high,1.2,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,high,1.2,10,2.5,2.5,0.0,0.0,
priority_weighted_utilization,reservation_only,high,high,1.2,10,100.0,100.0,38.3,1.0,13.9
priority_weighted_utilization,both_flexible,high,high,1.2,10,11.7,11.0,38.1,1.0,10.9
average_utilization,baseline,high,high,1.4,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,high,1.4,10,3.2,3.0,0.0,0.0,
average_utilization,reservation_only,high,high,1.4,10,100.0,100.0,31.4,0.8,17.875
average_utilization,both_flexible,high,high,1.4,10,7.1,4.0,34.4,1.0,6.7
priority_weighted_utilization,baseline,high,high,1.4,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,high,1.4,10,2.8,3.0,0.0,0.0,
priority_weighted_utilization,reservation_only,high,high,1.4,10,100.0,100.0,39.9,1.0,23.4
priority_weighted_utilization,both_flexible,high,high,1.4,10,17.9,24.0,40.0,1.0,17.2
average_utilization,baseline,high,high,1.7,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,high,1.7,10,2.8,2.5,0.0,0.0,
average_utilization,reservation_only,high,high,1.7,10,100.0,100.0,36.6,1.0,16.8
average_utilization,both_flexible,high,high,1.7,10,7.1,7.0,32.8,1.0,7.0
priority_weighted_utilization,baseline,high,high,1.7,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,high,1.7,10,2.8,2.5,0.0,0.0,
priority_weighted_utilization,reservation_only,high,high,1.7,10,100.0,100.0,39.9,1.0,23.6
priority_weighted_utilization,both_flexible,high,high,1.7,10,12.1,9.0,39.9,1.0,11.4
average_utilization,baseline,high,high,2.0,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,high,2.0,10,3.1,3.0,0.0,0.0,
average_utilization,reservation_only,high,high,2.0,10,100.0,100.0,36.1,1.0,23.3
average_utilization,both_flexible,high,high,2.0,10,6.7,5.0,33.7,1.0,6.5
priority_weighted_utilization,baseline,high,high,2.0,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,high,2.0,10,3.1,3.0,0.0,0.0,
priority_weighted_utilization,reservation_only,high,high,2.0,10,100.0,100.0,39.7,1.0,25.2
priority_weighted_utilization,both_flexible,high,high,2.0,10,12.1,9.0,39.9,1.0,11.3
average_utilization,baseline,high,high,2.5,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,high,2.5,10,3.3,3.0,0.0,0.0,
average_utilization,reservation_only,high,high,2.5,10,100.0,100.0,32.8,1.0,14.9
average_utilization,both_flexible,high,high,2.5,10,5.0,4.0,31.0,0.9,4.888888888888889
priority_weighted_utilization,baseline,high,high,2.5,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,high,2.5,10,3.2,3.5,0.0,0.0,
priority_weighted_utilization,reservation_only,high,high,2.5,10,100.0,100.0,39.9,1.0,24.3
priority_weighted_utilization,both_flexible,high,high,2.5,10,3.7,3.0,39.3,1.0,3.5
average_utilization,baseline,high,high,3.0,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,high,3.0,10,2.9,2.5,0.0,0.0,
average_utilization,reservation_only,high,high,3.0,10,100.0,100.0,31.1,1.0,13.2
average_utilization,both_flexible,high,high,3.0,10,6.8,4.0,31.2,0.9,5.333333333333333
priority_weighted_utilization,baseline,high,high,3.0,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,high,3.0,10,3.1,3.0,0.0,0.0,
priority_weighted_utilization,reservation_only,high,high,3.0,10,100.0,100.0,38.8,1.0,23.3
priority_weighted_utilization,both_flexible,high,high,3.0,10,11.1,3.5,39.5,1.0,10.7
average_utilization,baseline,high,low,1.2,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,low,1.2,10,2.5,2.5,0.0,0.0,
average_utilization,reservation_only,high,low,1.2,10,100.0,100.0,22.1,0.6,6.333333333333333
average_utilization,both_flexible,high,low,1.2,10,3.3,3.5,27.8,1.0,3.1
priority_weighted_utilization,baseline,high,low,1.2,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,low,1.2,10,2.5,2.5,0.0,0.0,
priority_weighted_utilization,reservation_only,high,low,1.2,10,100.0,100.0,38.3,1.0,13.9
priority_weighted_utilization,both_flexible,high,low,1.2,10,11.7,11.0,38.1,1.0,10.9
average_utilization,baseline,high,low,1.4,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,low,1.4,10,3.2,3.0,0.0,0.0,
average_utilization,reservation_only,high,low,1.4,10,100.0,100.0,31.4,0.8,17.875
average_utilization,both_flexible,high,low,1.4,10,7.1,4.0,34.4,1.0,6.7
priority_weighted_utilization,baseline,high,low,1.4,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,low,1.4,10,2.8,3.0,0.0,0.0,
priority_weighted_utilization,reservation_only,high,low,1.4,10,100.0,100.0,39.9,1.0,23.4
priority_weighted_utilization,both_flexible,high,low,1.4,10,17.9,24.0,40.0,1.0,17.2
average_utilization,baseline,high,low,1.7,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,low,1.7,10,2.8,2.5,0.0,0.0,
average_utilization,reservation_only,high,low,1.7,10,100.0,100.0,36.6,1.0,16.8
average_utilization,both_flexible,high,low,1.7,10,7.1,7.0,32.8,1.0,7.0
priority_weighted_utilization,baseline,high,low,1.7,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,low,1.7,10,2.8,2.5,0.0,0.0,
priority_weighted_utilization,reservation_only,high,low,1.7,10,100.0,100.0,39.9,1.0,23.6
priority_weighted_utilization,both_flexible,high,low,1.7,10,12.1,9.0,39.9,1.0,11.4
average_utilization,baseline,high,low,2.0,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,low,2.0,10,3.1,3.0,0.0,0.0,
average_utilization,reservation_only,high,low,2.0,10,100.0,100.0,36.1,1.0,23.3
average_utilization,both_flexible,high,low,2.0,10,6.7,5.0,33.7,1.0,6.5
priority_weighted_utilization,baseline,high,low,2.0,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,low,2.0,10,3.1,3.0,0.0,0.0,
priority_weighted_utilization,reservation_only,high,low,2.0,10,100.0,100.0,39.7,1.0,25.2
priority_weighted_utilization,both_flexible,high,low,2.0,10,12.1,9.0,39.9,1.0,11.3
average_utilization,baseline,high,low,2.5,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,low,2.5,10,3.3,3.0,0.0,0.0,
average_utilization,reservation_only,high,low,2.5,10,100.0,100.0,32.4,1.0,14.8
average_utilization,both_flexible,high,low,2.5,10,5.0,4.0,31.0,0.9,4.888888888888889
priority_weighted_utilization,baseline,high,low,2.5,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,low,2.5,10,3.2,3.5,0.0,0.0,
priority_weighted_utilization,reservation_only,high,low,2.5,10,100.0,100.0,39.7,1.0,24.1
priority_weighted_utilization,both_flexible,high,low,2.5,10,3.7,3.0,39.3,1.0,3.5
average_utilization,baseline,high,low,3.0,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,low,3.0,10,2.9,2.5,0.0,0.0,
average_utilization,reservation_only,high,low,3.0,10,100.0,100.0,31.3,1.0,13.1
average_utilization,both_flexible,high,low,3.0,10,6.8,4.0,31.2,0.9,5.333333333333333
priority_weighted_utilization,baseline,high,low,3.0,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,low,3.0,10,3.1,3.0,0.0,0.0,
priority_weighted_utilization,reservation_only,high,low,3.0,10,100.0,100.0,38.8,1.0,23.2
priority_weighted_utilization,both_flexible,high,low,3.0,10,11.1,3.5,39.5,1.0,10.7
average_utilization,baseline,high,medium,1.2,10,100.0,100.0,0.0,0.0,
average_utilization,horizon_only,high,medium,1.2,10,2.5,2.5,0.0,0.0,
average_utilization,reservation_only,high,medium,1.2,10,100.0,100.0,22.1,0.6,6.333333333333333
average_utilization,both_flexible,high,medium,1.2,10,3.3,3.5,27.8,1.0,3.1
priority_weighted_utilization,baseline,high,medium,1.2,10,100.0,100.0,0.0,0.0,
priority_weighted_utilization,horizon_only,high,medium,1.2,10,2.5,2.5,0.0,0.0,
priority_weighted_utilization,reservation_only,high,medium,1.2,10,100.0,100.0,38.3,1.0,13.9
priority_weighted_utilization,both_flexible,high,medium,1.2,10,11.7,11.0,38.1,1.0,10.9
average_utilization,baseline,high,medium,1.4,10,100.0,100.0,0.0,0.0,
